addr,data
0x37C,0xFF
0x37D,0xFF
0x37E,0xFF
0x37F,0xFF
0x380,0x12
0x381,0x42
0x382,0xF9
0x383,0x26
0x384,0xBA
0x385,0xAB
0x386,0xE6
0x387,0x6C
0x388,0x31
0x389,0x30
0x38A,0x61
0x38B,0x81
0x38C,0xFB
0x38D,0xC4
0x38E,0xD1
0x38F,0x3F
0x390,0x09
0x391,0x21
0x392,0x7D
0x393,0x13
0x394,0xDD
0x395,0xD4
0x396,0xF3
0x397,0x36
0x398,0x99
0x399,0x18
0x39A,0xB1
0x39B,0xC1
0x39C,0xFE
0x39D,0x62
0x39E,0xE9
0x39F,0x20
0x3A0,0x85
0x3A1,0x10
0x3A2,0xBE
0x3A3,0x89
0x3A4,0x6E
0x3A5,0x6A
0x3A6,0x7A
0x3A7,0x9B
0x3A8,0x0C
0x3A9,0x58
0x3AA,0xB0
0x3AB,0x13
0x3AC,0xFF
0x3AD,0xFF
0x3AE,0xFF
0x3AF,0xFF
0x3B0,0xFF
0x3B1,0xFF
0x3B2,0xFF
0x3B3,0xFF
0x3B4,0xFF
0x3B5,0xFF
0x3B6,0xFF
0x3B7,0xFF
0x3B8,0xFF
0x3B9,0xFF
0x3BA,0xFF
0x3BB,0xFF
0x3BC,0xFF
0x3BD,0xFF
0x3BE,0xFF
0x3BF,0xFF
0x3C0,0xFF
0x3C1,0xFF
0x3C2,0xFF
0x3C3,0xFF
0x3C4,0xFF
0x3C5,0xFF
0x3C6,0xFF
0x3C7,0xFF
0x3C8,0xFF
0x3C9,0xFF
0x3CA,0xFF
0x3CB,0xFF
0x3CC,0xFF
0x3CD,0xFF
0x3CE,0xFF
0x3CF,0xFF
0x3D0,0xFF
0x3D1,0xFF
0x3D2,0xFF
0x3D3,0xFF
0x3D4,0xFF
0x3D5,0xFF
0x3D6,0xFF
0x3D7,0xFF
0x3D8,0xFF
0x3D9,0xFF
0x3DA,0xFF
0x3DB,0xFF
0x3DC,0xFF
0x3DD,0xFF
0x3DE,0xFF
0x3DF,0xFF
0x3E0,0xFF
0x3E1,0xFF
0x3E2,0xFF
0x3E3,0xFF
0x3E4,0xFF
0x3E5,0xFF
0x3E6,0xFF
0x3E7,0xFF
0x3E8,0xFF
0x3E9,0xFF
0x3EA,0xFF
0x3EB,0xFF
0x3EC,0xFF
0x3ED,0xFF
0x3EE,0xFF
0x3EF,0xFF
0x3F0,0xFF
0x3F1,0xFF
0x3F2,0xFF
0x3F3,0xFF
0x3F4,0xFF
0x3F5,0xFF
0x3F6,0xFF
0x3F7,0xFF
0x3F8,0xFF
0x3F9,0xFF
0x3FA,0xFF
0x3FB,0xFF
0x3FC,0xFF
